reaction_temperature,reaction_time_min,ph_value,catalyst_loading,solvent_polarity,stirring_speed_rpm,reactant_ratio,crystallization_time_min,target
89.38,109.27,2.85,2.904,8.74,542,1.049,59.03,0
96.99,114.11,5.52,3.373,6.54,336,0.998,91.67,1
76.99,154.72,7.72,3.151,5.86,506,1.205,112.31,1
92.05,89.3,6.48,2.813,6.0,402,1.252,99.03,1
83.06,129.15,7.39,2.337,6.84,424,1.096,90.31,1
68.97,102.92,5.83,0.905,4.06,681,1.346,113.03,0
83.06,102.38,6.94,2.787,5.36,662,0.874,20.0,1
99.53,148.46,6.55,2.587,2.96,599,1.045,103.98,1
77.5,138.89,8.67,2.644,6.48,378,0.951,66.69,1
99.91,138.47,7.21,1.251,6.9,479,0.744,33.74,0
41.32,155.69,7.34,1.427,4.98,678,1.065,99.31,0
89.51,110.74,6.14,3.348,8.48,538,1.058,123.46,1
79.22,133.87,6.02,2.364,3.72,822,1.352,81.15,1
73.81,99.14,6.11,3.013,3.31,571,1.194,111.68,0
79.28,121.35,7.43,2.425,6.18,545,0.896,130.14,1
50.17,105.44,6.13,2.427,7.58,480,1.414,121.82,0
74.92,113.39,7.26,3.244,8.66,537,1.3,130.92,0
83.0,130.83,10.12,1.936,5.02,500,1.185,105.78,0
98.69,81.36,8.19,2.487,7.63,612,1.039,87.11,0
70.74,183.23,6.28,1.984,5.73,644,0.907,40.14,0
66.68,74.79,8.72,2.009,5.51,418,1.013,78.11,0
70.98,67.5,6.15,2.122,7.3,347,1.276,61.39,0
90.82,150.53,3.54,2.6,6.91,281,1.419,145.79,0
82.6,137.71,5.19,1.969,3.12,586,1.358,80.08,0
70.58,131.84,3.81,3.53,8.31,377,0.992,88.45,0
85.19,131.99,6.24,1.595,8.15,240,0.878,100.44,1
79.36,109.57,6.83,2.232,4.74,571,1.105,86.22,1
91.56,78.6,9.48,2.004,6.47,844,0.762,132.46,0
68.17,112.65,7.32,3.702,6.64,519,1.138,67.57,0
73.41,86.3,6.45,2.577,6.24,629,1.053,90.45,1
72.51,144.13,8.13,3.329,4.86,531,0.996,64.21,0
57.51,104.85,3.26,1.063,4.66,507,0.793,48.04,0
82.15,81.11,7.18,2.64,5.76,639,1.172,67.87,1
81.65,98.75,8.03,3.201,7.79,482,0.984,83.96,0
78.07,124.45,4.43,2.474,6.72,555,0.869,72.98,1
74.72,90.27,8.63,3.359,5.17,562,0.6,65.61,0
58.18,81.22,7.34,1.934,7.11,433,1.075,45.62,0
72.11,118.53,6.14,3.668,1.0,649,1.399,82.67,0
73.2,118.57,7.81,4.469,7.75,497,1.379,42.87,0
66.77,92.26,10.43,2.073,2.84,422,0.998,106.28,0
75.74,93.51,7.09,1.999,5.18,590,0.972,87.31,0
83.66,118.12,7.2,3.708,3.9,403,1.164,44.19,1
104.41,59.32,6.07,3.822,3.6,524,0.9,76.34,0
80.44,60.74,5.44,1.929,7.77,519,1.134,63.94,0
81.61,84.85,8.13,2.022,5.0,661,1.218,93.94,1
76.96,102.53,5.43,2.146,6.39,582,1.301,122.53,0
51.14,120.88,6.91,1.19,5.72,517,1.062,32.5,0
77.63,161.64,6.04,1.573,6.61,626,1.043,88.22,0
78.84,140.02,7.57,1.496,5.93,701,0.922,80.52,1
112.49,104.4,7.33,1.709,3.62,593,0.931,103.8,0
75.31,109.33,8.46,2.369,7.49,521,1.039,90.97,1
82.22,74.91,5.98,2.611,4.96,349,1.146,63.94,1
77.51,109.35,6.37,3.795,3.15,382,1.244,76.07,1
61.64,99.9,5.23,1.501,5.07,480,0.935,62.71,0
94.0,121.3,6.09,3.286,8.35,441,1.349,115.13,0
88.53,81.05,7.4,2.207,7.25,496,1.031,85.6,0
89.07,128.18,8.01,2.355,5.21,527,1.076,138.23,1
65.27,163.65,5.32,3.007,5.21,589,0.946,83.3,0
97.64,106.19,8.19,1.39,5.25,511,0.644,65.16,0
58.37,124.06,8.97,2.744,9.33,583,1.239,42.62,0
86.22,134.16,7.46,2.55,6.45,528,1.213,34.51,1
108.67,95.96,9.8,2.843,6.53,263,1.029,40.64,0
64.13,117.84,5.56,2.66,7.55,398,1.092,92.48,1
70.07,110.44,4.81,4.61,6.21,501,1.173,99.24,0
79.4,113.42,3.95,1.826,5.36,363,0.799,40.73,0
70.95,82.94,9.19,1.922,5.47,598,0.985,110.06,0
56.29,110.86,7.85,1.839,5.68,719,1.223,71.47,0
78.96,127.43,6.71,1.9,5.74,678,0.854,89.11,1
63.13,160.79,7.25,1.826,7.04,492,1.133,130.14,0
84.63,143.57,5.0,3.47,5.89,714,0.836,110.11,0
65.13,185.36,10.71,3.678,7.05,539,1.164,77.48,0
99.7,83.14,7.01,1.886,5.66,476,1.074,60.05,0
67.03,140.53,6.98,1.651,5.93,440,0.789,24.75,0
73.49,116.42,7.96,2.824,2.4,481,1.29,64.86,1
89.39,186.64,7.57,1.903,7.36,470,0.948,79.09,0
60.77,81.71,7.16,2.97,6.39,542,0.934,57.36,0
81.18,80.61,5.54,2.583,7.5,541,1.116,81.32,1
96.3,89.02,7.55,1.036,1.0,520,1.287,87.15,0
55.5,35.66,9.81,3.793,9.35,577,0.897,78.7,0
80.58,91.6,8.95,4.016,5.56,675,1.091,66.8,0
81.64,83.43,9.35,1.848,7.68,643,1.157,89.72,0
88.95,115.26,5.98,2.051,4.03,327,1.205,97.37,1
60.68,121.96,5.22,2.657,6.84,188,1.112,54.47,0
59.51,175.67,6.6,2.701,4.01,641,1.014,124.51,0
85.31,143.26,6.89,2.993,4.74,342,0.931,82.24,1
82.16,89.81,8.55,4.209,9.05,491,1.096,85.53,0
81.51,78.56,4.09,2.241,5.48,368,0.887,104.83,0
82.85,127.22,9.25,1.682,6.17,286,0.6,91.53,0
68.48,63.79,6.55,1.159,7.28,590,1.159,111.69,0
81.25,174.1,6.12,1.742,6.64,619,1.243,93.04,1
82.1,151.28,5.18,2.37,6.06,445,0.655,67.85,0
68.0,93.58,4.15,4.015,6.42,183,0.898,95.12,0
104.12,50.04,8.12,1.934,9.89,449,1.191,52.98,0
84.63,157.39,6.92,2.601,5.7,571,1.45,88.04,1
61.32,105.99,4.74,2.385,6.14,328,1.084,84.07,0
87.19,153.32,4.73,3.47,7.59,544,0.949,79.17,0
64.35,54.2,6.26,4.674,7.68,518,1.047,81.4,0
89.02,89.02,9.47,1.922,7.82,595,1.327,32.31,0
94.22,110.18,6.38,1.96,6.89,536,0.964,69.64,1
66.51,111.64,4.39,3.34,3.86,394,0.936,87.6,0
91.49,94.25,6.41,3.014,8.58,676,0.993,89.48,1
83.78,131.8,6.36,4.062,3.85,499,0.908,56.23,0
89.51,72.63,2.48,2.926,6.31,516,1.102,120.44,0
104.56,105.02,6.71,2.077,4.52,399,1.372,60.75,0
74.56,114.21,6.43,2.932,5.69,462,1.138,112.14,1
67.45,128.01,7.91,3.398,6.36,405,1.035,96.96,1
65.55,134.91,9.76,3.138,6.35,498,1.027,66.91,0
66.58,70.64,8.6,2.857,6.52,743,0.799,134.71,0
76.92,56.31,6.37,3.36,8.54,342,1.239,51.58,0
82.78,154.72,5.03,3.452,6.57,310,1.066,110.74,0
81.87,121.63,10.92,3.644,5.38,711,1.048,113.02,0
89.58,83.8,6.89,2.984,7.44,493,1.6,66.22,0
78.18,164.29,6.82,2.25,7.82,433,1.134,123.99,1
98.35,114.05,6.76,2.532,3.71,655,0.945,78.0,1
74.29,151.28,7.12,3.486,6.82,441,1.003,93.08,0
116.08,112.36,6.57,1.665,6.99,757,1.287,92.29,0
86.76,182.13,5.88,2.732,5.29,608,1.1,81.24,1
66.0,171.44,5.93,2.046,8.14,457,0.821,107.7,0
63.01,101.29,6.75,2.426,5.54,800,1.245,107.22,0
84.75,144.0,5.93,3.551,6.01,441,0.96,36.04,1
74.87,132.59,5.66,2.572,5.51,616,1.417,121.52,0
88.0,157.9,6.97,2.442,5.83,559,1.274,38.45,1
84.63,76.23,6.39,1.176,3.94,689,0.999,113.91,0
76.98,134.01,9.21,3.072,3.35,723,1.311,116.55,0
66.14,147.04,2.56,2.981,8.51,524,1.092,54.45,0
56.79,48.44,8.55,4.347,4.36,422,1.233,73.5,0
71.75,68.59,8.79,2.123,4.11,580,1.167,54.04,0
89.99,38.63,3.48,2.597,2.14,432,0.928,78.98,0
81.0,100.57,6.25,2.624,4.71,782,0.964,76.38,1
60.56,135.11,6.21,3.82,3.55,538,1.265,106.83,0
80.42,162.58,4.55,2.314,8.59,473,1.02,121.69,0
83.39,112.59,5.56,2.651,7.52,544,1.007,124.08,1
65.63,167.0,5.02,2.947,4.63,345,0.908,69.26,0
80.15,61.7,9.6,2.568,9.63,394,1.156,79.14,0
78.81,50.38,8.3,1.998,7.47,676,1.451,37.86,0
62.0,108.06,8.83,2.575,5.25,435,0.888,62.44,0
83.01,123.44,7.95,3.366,1.55,384,1.084,112.02,1
85.85,108.86,4.99,1.476,9.69,590,1.334,130.24,0
93.16,37.64,5.96,2.52,3.44,674,1.066,50.44,0
92.75,106.88,7.58,1.77,3.0,613,1.161,68.41,0
58.71,64.34,4.84,3.476,7.54,649,0.889,84.26,0
64.87,133.44,7.94,1.029,9.95,422,1.157,92.84,0
85.21,122.83,6.42,1.897,8.15,335,1.046,62.33,1
85.19,77.1,6.2,2.739,6.76,715,1.257,96.87,1
85.21,92.01,7.94,3.809,6.81,478,1.294,71.73,0
130.0,72.93,7.51,2.341,7.25,487,1.546,84.6,0
85.99,107.81,6.22,1.9,7.09,693,1.184,100.3,1
93.9,143.43,8.65,4.093,6.28,592,1.139,85.18,0
91.36,75.5,5.07,1.097,5.98,579,1.115,72.78,0
87.12,127.64,7.79,0.421,5.69,801,1.016,81.93,0
73.59,91.44,7.75,2.796,4.52,436,1.141,82.53,0
88.63,82.25,6.3,1.948,5.32,641,1.027,74.64,1
67.18,106.25,7.32,1.481,2.92,527,1.11,77.75,0
74.68,73.77,4.8,3.038,5.63,555,1.317,129.76,0
71.2,90.62,8.28,2.619,4.12,719,0.899,100.71,0
79.15,68.07,6.5,1.892,3.92,586,1.285,76.73,0
110.41,178.77,5.96,1.248,6.11,590,1.317,104.51,0
51.86,111.23,8.48,3.185,8.17,659,1.059,75.65,0
87.61,85.51,5.67,2.985,7.36,473,0.698,117.85,0
55.42,117.49,4.55,2.311,3.13,411,0.971,95.35,0
71.39,106.07,4.31,4.062,4.12,384,1.313,82.0,0
93.25,102.27,7.77,1.437,7.4,264,1.076,97.54,0
78.9,131.5,4.75,1.027,4.13,787,0.9,41.02,0
62.91,136.51,9.61,1.777,5.42,377,0.989,53.45,0
67.99,91.43,3.47,2.359,6.74,491,1.231,51.57,0
87.51,89.85,9.51,2.619,4.15,484,1.178,89.0,0
67.77,100.37,7.14,2.183,5.98,560,1.037,133.51,1
81.03,29.43,6.65,2.717,3.53,626,1.014,147.48,0
78.64,56.97,5.93,1.274,4.78,632,1.009,102.87,0
68.88,157.84,7.44,3.699,6.34,444,0.914,99.02,0
108.02,167.57,6.74,2.326,3.09,498,1.371,34.57,0
86.87,101.28,8.57,3.406,6.55,557,1.022,69.81,0
49.65,130.18,6.98,2.708,5.77,488,1.299,62.94,0
80.61,120.89,7.04,2.811,6.74,729,1.354,67.62,1
68.73,217.76,6.22,2.913,6.18,584,1.26,80.29,0
89.93,149.19,6.71,2.803,8.12,616,1.002,71.78,1
